country,name,type,rank
abkhazia,Giorgi,f,1
abkhazia,Nino,f,2
abkhazia,Davit,f,3
abkhazia,Nana,f,4
abkhazia,Irakli,f,5
abkhazia,Tamar,f,6
abkhazia,Zurab,f,7
abkhazia,Levan,f,8
abkhazia,Marina,f,9
abkhazia,Manana,f,10
abkhazia,Maia,f,11
abkhazia,Natela,f,12
abkhazia,Ana,f,13
abkhazia,Liana,f,14
abkhazia,Lali,f,15
abkhazia,Natia,f,16
abkhazia,Mariam,f,17
abkhazia,Nona,f,18
abkhazia,Aleqsandre,f,19
abkhazia,Khatuna,f,20
abkhazia,Merab,f,21
abkhazia,Irma,f,22
abkhazia,Tamaz,f,23
abkhazia,Temur,f,24
abkhazia,Tengiz,f,25
abkhazia,Mzia,f,26
abkhazia,Vakhtang,f,27
abkhazia,Lasa,f,28
abkhazia,Eteri,f,29
abkhazia,Leila,f,30
abkhazia,Inga,f,31
abkhazia,Tea,f,32
abkhazia,Ekaterine,f,33
abkhazia,Mamuka,f,34
abkhazia,Qetevan,f,35
abkhazia,Gotsag,f,36
abkhazia,Avtandil,f,37
abkhazia,Givi,f,38
abkhazia,Guram,f,39
abkhazia,Lia,f,40
abkhazia,Lela,f,41
abkhazia,Nugzar,f,42
abkhazia,Nanuli,f,43
abkhazia,Shota,f,44
abkhazia,Luka,f,45
abkhazia,Nikoloz,f,46
abkhazia,Vladimer,f,47
abkhazia,Salome,f,48
abkhazia,Nodar,f,49
abkhazia,Nato,f,50
abkhazia,Tsiala,f,51
abkhazia,Lamara,f,52
abkhazia,Zaza,f,53
abkhazia,Mikheil,f,54
abkhazia,Mariami,f,55
abkhazia,Revaz,f,56
abkhazia,Neli,f,57
abkhazia,Eliso,f,58
abkhazia,Irina,f,59
abkhazia,Meri,f,60
abkhazia,Rusudan,f,61
abkhazia,Svetlana,f,62
abkhazia,Gela,f,63
abkhazia,Eka,f,64
abkhazia,Badri,f,65
abkhazia,Darejan,f,66
abkhazia,Shorena,f,67
abkhazia,Tina,f,68
abkhazia,Malkhaz,f,69
abkhazia,Nika,f,70
abkhazia,Otar,f,71
abkhazia,Teimuraz,f,72
abkhazia,Dali,f,73
abkhazia,Izolda,f,74
abkhazia,Koba,f,75
abkhazia,Elene,f,76
abkhazia,Gia,f,77
abkhazia,Nani,f,78
abkhazia,Roman,f,79
abkhazia,Madona,f,80
abkhazia,Sopiko,f,81
abkhazia,Amiran,f,82
abkhazia,Teona,f,83
abkhazia,Besik,f,84
abkhazia,Kakhaber,f,85
abkhazia,Tinatin,f,86
abkhazia,Maka,f,87
abkhazia,Gulnara,f,88
abkhazia,Nina,f,89
abkhazia,Murman,f,90
abkhazia,Rezo,f,91
abkhazia,Salva,f,92
abkhazia,Nunu,f,93
abkhazia,Tariel,f,94
abkhazia,Akaki,f,95
abkhazia,Maula,f,96
abkhazia,Ia,f,97
abkhazia,Jemal,f,98
abkhazia,Vaja,f,99
abkhazia,Valeri,f,100
abkhazia,Rekhviashvili,s,1
abkhazia,Maisuradze,s,2
abkhazia,Kvaratskhelia,s,3
abkhazia,Shonia,s,4
abkhazia,Gogokhia,s,5
abkhazia,Tsaldadze,s,6
abkhazia,Kopalyan,s,7
abkhazia,Qardava,s,8
abkhazia,Metreveli,s,9
abkhazia,Pipia,s,10
abkhazia,Shengelia,s,11
abkhazia,Todua,s,12
abkhazia,Khurtsilava,s,13
abkhazia,Qobalia,s,14
abkhazia,Tsulaia,s,15
abkhazia,Gogoryan,s,16
abkhazia,Rukhaia,s,17
abkhazia,Tchanturia,s,18
abkhazia,Abshilava,s,19
abkhazia,Gogoberishvili,s,20
abkhazia,Danelia,s,21
abkhazia,Natchkhebia,s,22
abkhazia,Tsaava,s,23
abkhazia,Berulava,s,24
abkhazia,Saminava,s,25
abkhazia,Jalaghonia,s,26
abkhazia,Tsanava,s,27
abkhazia,Gogia,s,28
abkhazia,Tseladze,s,29
abkhazia,Sajaia,s,30
abkhazia,Gogua,s,31
abkhazia,Jiqia,s,32
abkhazia,Kholbaia,s,33
abkhazia,Vekua,s,34
abkhazia,Zarqua,s,35
abkhazia,Tsurtsumia,s,36
